EnstID	Gene	MIS	LOF	Silent	Total
ENST00000330459	KPNA2	49	3	32	84
ENST00000284006	KCTD15	21	1	13	39
ENST00000336123	IL17F	31	1	8	41
ENST00000336125	ARL17B	4	2	0	6
ENST00000336128	ZNF548	66	8	19	94
ENST00000556143	ZFYVE1	60	8	33	103
ENST00000319349	ETV4	34	4	20	60
ENST00000288699	DPYSL5	90	5	36	136
ENST00000435205	FAM160A1	62	8	22	96
ENST00000319340	CHST13	30	0	23	54
ENST00000299275	PLEKHA5	98	17	27	156
ENST00000295550	COL6A3	556	32	234	843
ENST00000259470	CTSL2	44	4	20	72
ENST00000317419	RABGAP1	7	0	2	9
ENST00000567949	CTU2	23	1	10	36
ENST00000278222	SAA4	17	3	5	25
ENST00000322516	Q8N800	42	3	6	51
ENST00000366548	EXO1	1	0	0	1
ENST00000366543	CEP170	64	1	24	90
ENST00000366542	CEP170	136	14	36	192
ENST00000366541	SDCCAG8	78	5	22	109
ENST00000366545	PLD5	106	8	48	168
ENST00000360268	ENSG00000196183	4	0	1	5
ENST00000284440	UCHL1	23	6	12	43
ENST00000360260	TP53TG3C	1	0	0	1
ENST00000360265	AFAP1	70	4	31	106
ENST00000331479	C22orf32	2	0	3	5
ENST00000269477	RSL24D1P11	2	2	0	4
ENST00000269471	MBD1	53	6	17	81
ENST00000331471	BEST3	22	1	11	34
ENST00000327355	FAM174B	8	1	3	22
ENST00000281543	GUF1	58	19	17	101
ENST00000178638	CA12	27	1	18	46
ENST00000547372	RBFOX1	27	1	14	43
ENST00000596396	ENSG00000268172	4	0	1	5
ENST00000404867	SLIT3	114	4	54	178
ENST00000398226	ENSG00000131871	8	3	3	19
ENST00000335017	H1FNT	46	1	20	67
ENST00000330387	CREB3L2	56	1	12	75
ENST00000283946	FBXO36	21	2	15	38
ENST00000283943	TRIP12	185	34	61	292
ENST00000371177	TM2D1	18	0	2	21
ENST00000423383	CENPI	78	4	20	104
ENST00000375142	CAPZB	4	0	2	7
ENST00000375140	CCDC153	10	2	5	17
ENST00000356742	HVCN1	35	2	22	59
ENST00000371174	DNTT	79	9	26	116
ENST00000356740	XXYLT1	10	1	5	16
ENST00000279575	PRB4	97	7	16	127
ENST00000542471	WDR25	4	0	6	11
ENST00000296238	CAMK2N2	3	0	2	5
ENST00000434634	WDR73	13	1	8	26
ENST00000296233	KLF15	49	2	14	65
ENST00000544130	ZC3H15	4	0	0	4
ENST00000376693	NUDT8	6	1	7	14
ENST00000297540	PHAX	21	3	7	31
ENST00000361134	SLC34A3	36	2	20	64
ENST00000361132	RASGEF1C	57	3	17	82
ENST00000361131	PPP1R14C	11	0	5	17
ENST00000361138	SMC5	92	22	25	145
ENST00000477224	CAMKV	110	4	41	160
ENST00000268704	SPG7	59	3	24	86
ENST00000253063	SESN2	45	5	19	71
ENST00000397326	MB	6	2	5	13
ENST00000397325	GALNT9	43	0	17	60
ENST00000275300	SLC22A3	62	4	34	107
ENST00000397766	PGBD4	54	7	20	81
NM_002426.1	MMP12	59	12	16	89
ENST00000326279	LIN28A	20	3	11	36
ENST00000359187	GOLGA8A	33	0	8	43
ENST00000388918	TYRP1	55	13	26	94
NM_012159.1	FBXL21	27	3	8	41
ENST00000388913	FAM83H	107	7	57	172
ENST00000388914	CCDC158	131	20	37	199
ENST00000389838	SH3BP2	1	0	2	4
ENST00000321196	TMTC2	115	11	34	164
ENST00000326274	VGLL2	13	3	10	26
ENST00000484558	CHCHD10	2	1	11	16
ENST00000556994	SRP54	44	6	10	60
